net_type,run_index,repetition_index,mutation_rate,Sch 1,R1,M1,B1,Sch 2,R2,M2,B2,(log(R1/R2)) * (log(M1/M2)),log(R1/R2),log(M1/M2),log(B1/B2),am,ar,interaction,log(b),(log(M1/M2))^2,(log(R1/R2)) * (log(M1/M2)),(log(R1/R1))^2,Changeovers,A,B,C,G
1,2,6,0.1,VI 20,574,0.8,1667,VI 120,119,0.8,470,0,0.683364931,0,0.549837742,,,,,0,0,0.466987629,500,,,,
1,3,0,0.1,VI 20,611,1.052631579,2070,VI 120,112,0.64516129,394,0.156654573,0.736823188,0.212608093,0.720474124,,,,,0.045202201,0.156654573,0.54290841,440,,,,
1,6,2,0.1,VI 45,268,0.64516129,894,VI 95,157,1.052631579,890,-0.049375071,0.232235142,-0.212608093,0.001947512,,,,,0.045202201,-0.049375071,0.053933161,562,,,,
1,1,8,0.1,VI 20,509,0.64516129,1321,VI 120,134,1.052631579,670,-0.123230411,0.579612984,-0.212608093,0.294828015,,,,,0.045202201,-0.123230411,0.335951211,615,,,,
1,5,4,0.1,VI 45,242,0.533333333,752,VI 95,178,1.6,1133,-0.063645763,0.133395364,-0.477121255,-0.178012069,,,,,0.227644692,-0.063645763,0.017794323,536,,,,
1,1,4,0.1,VI 20,460,0.64516129,1151,VI 120,136,1.052631579,684,-0.112516226,0.529218923,-0.212608093,0.226019222,,,,,0.045202201,-0.112516226,0.280072669,525,,,,
1,1,0,0.1,VI 20,488,0.64516129,1233,VI 120,136,1.052631579,635,-0.117972173,0.554880914,-0.212608093,0.288189351,,,,,0.045202201,-0.117972173,0.307892828,503,,,,
1,2,2,0.1,VI 20,579,0.8,1663,VI 120,113,0.8,477,0,0.70960012,0,0.54237387,,,,,0,0,0.503532331,496,,,,
1,4,2,0.1,VI 20,733,1.6,3150,VI 120,80,0.533333333,232,0.458997321,0.962013988,0.477121255,1.132822569,,,,,0.227644692,0.458997321,0.925470912,308,,,,
1,3,4,0.1,VI 20,596,1.052631579,2044,VI 120,101,0.64516129,377,0.16390487,0.770924886,0.212608093,0.734139541,,,,,0.045202201,0.16390487,0.59432518,424,,,,
1,4,6,0.1,VI 20,695,1.6,2977,VI 120,84,0.533333333,228,0.437856808,0.917705519,0.477121255,1.115843988,,,,,0.227644692,0.437856808,0.842183419,272,,,,
1,5,0,0.1,VI 45,249,0.533333333,793,VI 95,184,1.6,1133,-0.062684918,0.131381524,-0.477121255,-0.154956723,,,,,0.227644692,-0.062684918,0.017261105,549,,,,
1,3,8,0.1,VI 20,627,1.052631579,2215,VI 120,98,0.64516129,356,0.171370939,0.806041465,0.212608093,0.793923733,,,,,0.045202201,0.171370939,0.649702844,466,,,,
1,0,7,0.1,VI 20,476,0.533333333,1129,VI 120,133,1.6,821,-0.264208429,0.553755312,-0.477121255,0.138350785,,,,,0.227644692,-0.264208429,0.306644945,547,,,,
1,5,9,0.1,VI 45,250,0.533333333,765,VI 95,154,1.6,1053,-0.100395515,0.210419288,-0.477121255,-0.138766936,,,,,0.227644692,-0.100395515,0.044276277,582,,,,
1,1,9,0.1,VI 20,498,0.64516129,1188,VI 120,131,1.052631579,653,-0.123303774,0.579958047,-0.212608093,0.259903259,,,,,0.045202201,-0.123303774,0.336351336,582,,,,
1,5,5,0.1,VI 45,247,0.533333333,756,VI 95,173,1.6,1073,-0.073787208,0.15465085,-0.477121255,-0.152077926,,,,,0.227644692,-0.073787208,0.023916885,534,,,,
1,1,5,0.1,VI 20,497,0.64516129,1272,VI 120,115,1.052631579,623,-0.135146152,0.635658548,-0.212608093,0.309999065,,,,,0.045202201,-0.135146152,0.40406179,520,,,,
1,2,7,0.1,VI 20,595,0.8,1630,VI 120,113,0.8,432,0,0.721438522,0,0.576703858,,,,,0,0,0.520473541,448,,,,
1,3,1,0.1,VI 20,662,1.052631579,2171,VI 120,88,0.64516129,328,0.186324485,0.876375317,0.212608093,0.82078598,,,,,0.045202201,0.186324485,0.768033697,392,,,,
1,2,3,0.1,VI 20,545,0.8,1663,VI 120,101,0.8,456,0,0.732075128,0,0.561927407,,,,,0,0,0.535933994,506,,,,
1,0,3,0.1,VI 20,444,0.533333333,978,VI 120,149,1.6,849,-0.226249325,0.474196702,-0.477121255,0.061431165,,,,,0.227644692,-0.226249325,0.224862512,563,,,,
1,1,1,0.1,VI 20,452,0.64516129,1156,VI 120,141,1.052631579,697,-0.107562542,0.505919322,-0.212608093,0.219725056,,,,,0.045202201,-0.107562542,0.255954361,533,,,,
1,6,3,0.1,VI 45,271,0.64516129,945,VI 95,139,1.052631579,790,-0.061646671,0.289954491,-0.212608093,0.077804717,,,,,0.045202201,-0.061646671,0.084073607,583,,,,
1,4,3,0.1,VI 20,720,1.6,3036,VI 120,91,0.533333333,222,0.428593779,0.898291104,0.477121255,1.135948793,,,,,0.227644692,0.428593779,0.806926908,286,,,,
1,5,1,0.1,VI 45,244,0.533333333,756,VI 95,161,1.6,1074,-0.086150899,0.18056395,-0.477121255,-0.152482486,,,,,0.227644692,-0.086150899,0.03260334,541,,,,
1,4,7,0.1,VI 20,626,1.6,2662,VI 120,94,0.533333333,261,0.392883818,0.82344648,0.477121255,1.008567544,,,,,0.227644692,0.392883818,0.678064105,352,,,,
1,3,9,0.1,VI 20,609,1.052631579,2014,VI 120,105,0.64516129,374,0.16231097,0.763427994,0.212608093,0.731187864,,,,,0.045202201,0.16231097,0.582822301,370,,,,
1,3,5,0.1,VI 20,563,1.052631579,1971,VI 120,103,0.64516129,353,0.156834861,0.73767117,0.212608093,0.746911919,,,,,0.045202201,0.156834861,0.544158755,399,,,,
1,6,8,0.1,VI 45,289,0.64516129,1073,VI 95,151,1.052631579,808,-0.059938664,0.281920895,-0.212608093,0.123188361,,,,,0.045202201,-0.059938664,0.079479391,620,,,,
1,7,2,0.1,VI 45,278,0.8,1010,VI 95,148,0.8,737,0,0.273783081,0,0.136853886,,,,,0,0,0.074957175,586,,,,
1,6,4,0.1,VI 45,284,0.64516129,911,VI 95,147,1.052631579,859,-0.060806128,0.286001005,-0.212608093,0.025525213,,,,,0.045202201,-0.060806128,0.081796575,624,,,,
1,8,4,0.1,VI 45,318,1.052631579,1299,VI 95,143,0.64516129,579,0.073794373,0.347091083,0.212608093,0.350930587,,,,,0.045202201,0.073794373,0.12047222,521,,,,
1,8,0,0.1,VI 45,324,1.052631579,1369,VI 95,132,0.64516129,603,0.082911007,0.389971079,0.212608093,0.356086136,,,,,0.045202201,0.082911007,0.152077442,544,,,,
1,8,8,0.1,VI 45,337,1.052631579,1352,VI 95,139,0.64516129,570,0.081772283,0.384615101,0.212608093,0.375101836,,,,,0.045202201,0.081772283,0.147928776,554,,,,
1,9,2,0.1,VI 45,317,1.6,1733,VI 95,135,0.533333333,448,0.176881013,0.370725494,0.477121255,0.587520549,,,,,0.227644692,0.176881013,0.137437392,471,,,,
1,9,6,0.1,VI 45,339,1.6,1774,VI 95,118,0.533333333,425,0.218673112,0.458317691,0.477121255,0.620564685,,,,,0.227644692,0.218673112,0.210055106,414,,,,
1,10,4,0.1,VI 70,193,0.533333333,657,VI 70,195,1.6,1240,0.002136216,-0.004477302,-0.477121255,-0.275856316,,,,,0.227644692,0.002136216,2.00E-05,558,,,,
1,7,6,0.1,VI 45,268,0.8,1074,VI 95,153,0.8,742,0,0.243443363,0,0.160600376,,,,,0,0,0.059264671,583,,,,
1,10,0,0.1,VI 70,188,0.533333333,604,VI 70,237,1.6,1328,0.047993864,-0.100590497,-0.477121255,-0.342161136,,,,,0.227644692,0.047993864,0.010118448,542,,,,
1,10,8,0.1,VI 70,176,0.533333333,617,VI 70,221,1.6,1329,0.047177562,-0.098879606,-0.477121255,-0.333239817,,,,,0.227644692,0.047177562,0.009777176,539,,,,
1,11,2,0.1,VI 70,182,0.64516129,743,VI 70,196,1.052631579,1013,0.006842724,-0.032184683,-0.212608093,-0.134620632,,,,,0.045202201,0.006842724,0.001035854,562,,,,
1,11,6,0.1,VI 70,182,0.64516129,727,VI 70,204,1.052631579,993,0.010536598,-0.049558779,-0.212608093,-0.135414838,,,,,0.045202201,0.010536598,0.002456073,608,,,,
1,12,0,0.1,VI 70,207,0.8,867,VI 70,215,0.8,913,0,-0.016468114,0,-0.02245168,,,,,0,0,0.000271199,628,,,,
1,12,4,0.1,VI 70,195,0.8,847,VI 70,212,0.8,919,0,-0.03630125,0,-0.035432101,,,,,0,0,0.001317781,538,,,,
1,7,3,0.1,VI 45,273,0.8,1063,VI 95,154,0.8,713,0,0.248641926,0,0.173443735,,,,,0,0,0.061822807,586,,,,
1,6,9,0.1,VI 45,280,0.64516129,965,VI 95,137,1.052631579,809,-0.066001517,0.310437464,-0.212608093,0.076578792,,,,,0.045202201,-0.066001517,0.096371419,605,,,,
1,6,5,0.1,VI 45,276,0.64516129,891,VI 95,157,1.052631579,873,-0.052090988,0.24500943,-0.212608093,0.00886346,,,,,0.045202201,-0.052090988,0.060029621,606,,,,
1,8,5,0.1,VI 45,288,1.052631579,1329,VI 95,147,0.64516129,636,0.062097541,0.292075153,0.212608093,0.320067865,,,,,0.045202201,0.062097541,0.085307895,582,,,,
1,8,9,0.1,VI 45,289,1.052631579,1173,VI 95,150,0.64516129,602,0.060552185,0.284806584,0.212608093,0.289701521,,,,,0.045202201,0.060552185,0.08111479,496,,,,
1,8,1,0.1,VI 45,297,1.052631579,1248,VI 95,121,0.64516129,577,0.082911007,0.389971079,0.212608093,0.335038772,,,,,0.045202201,0.082911007,0.152077442,551,,,,
1,9,3,0.1,VI 45,328,1.6,1681,VI 95,153,0.533333333,524,0.158014168,0.331182413,0.477121255,0.506236426,,,,,0.227644692,0.158014168,0.109681791,542,,,,
1,9,7,0.1,VI 45,337,1.6,1820,VI 95,140,0.533333333,471,0.182022649,0.381501865,0.477121255,0.587050481,,,,,0.227644692,0.182022649,0.145543673,415,,,,
1,10,5,0.1,VI 70,184,0.533333333,647,VI 70,218,1.6,1276,0.035134575,-0.073638671,-0.477121255,-0.294946394,,,,,0.227644692,0.035134575,0.005422654,558,,,,
1,10,1,0.1,VI 70,189,0.533333333,636,VI 70,223,1.6,1283,0.03427785,-0.071843059,-0.477121255,-0.304769541,,,,,0.227644692,0.03427785,0.005161425,529,,,,
1,7,7,0.1,VI 45,288,0.8,1035,VI 95,150,0.8,752,0,0.283301229,0,0.138722509,,,,,0,0,0.080259586,603,,,,
1,10,9,0.1,VI 70,172,0.533333333,598,VI 70,229,1.6,1407,0.059309529,-0.124307035,-0.477121255,-0.371592913,,,,,0.227644692,0.059309529,0.015452239,544,,,,
