net_type,run_index,repetition_index,mutation_rate,Sch 1,R1,M1,B1,Sch 2,R2,M2,B2,log(R1/R2),log(M1/M2),log(B1/B2),Changeovers,,53.2332999,,
0,8,1,0.1,VI 45,292,1.052631579,1239,VI 95,159,0.64516129,747,0.263985727,0.212608093,0.219750705,594,,,,
0,8,3,0.1,VI 45,323,1.052631579,1362,VI 95,155,0.64516129,659,0.318870824,0.212608093,0.315291693,565,,,,
0,8,4,0.1,VI 45,300,1.052631579,1336,VI 95,139,0.64516129,652,0.334106454,0.212608093,0.311558862,536,,,,
0,8,5,0.1,VI 45,304,1.052631579,1382,VI 95,151,0.64516129,628,0.303896636,0.212608093,0.342548399,571,,,,
0,8,6,0.1,VI 45,322,1.052631579,1443,VI 95,145,0.64516129,685,0.346487869,0.212608093,0.32357576,604,,,,
0,8,8,0.1,VI 45,300,1.052631579,1394,VI 95,168,0.64516129,698,0.251811973,0.212608093,0.300407351,589,,,,
0,8,7,0.1,VI 45,312,1.052631579,1379,VI 95,147,0.64516129,674,0.326837259,0.212608093,0.31090437,594,,,,
0,8,9,0.1,VI 45,306,1.052631579,1397,VI 95,161,0.64516129,698,0.27889555,0.212608093,0.301340983,558,,,,
0,9,0,0.1,VI 45,322,1.6,1721,VI 95,154,0.533333333,644,0.320335151,0.477121255,0.426895003,579,,,,
0,9,1,0.1,VI 45,325,1.6,1722,VI 95,137,0.533333333,654,0.375162794,0.477121255,0.420455399,619,,,,
0,9,2,0.1,VI 45,280,1.6,1561,VI 95,169,0.533333333,707,0.219271327,0.477121255,0.343983489,591,,,,
0,9,3,0.1,VI 45,327,1.6,1762,VI 95,150,0.533333333,638,0.338456494,0.477121255,0.441185225,606,,,,
0,9,4,0.1,VI 45,304,1.6,1645,VI 95,139,0.533333333,614,0.339858783,0.477121255,0.427997531,590,,,,
0,9,5,0.1,VI 45,321,1.6,1711,VI 95,143,0.533333333,613,0.351168995,0.477121255,0.445789535,582,,,,
0,9,6,0.1,VI 45,338,1.6,1831,VI 95,145,0.533333333,597,0.367548698,0.477121255,0.486714013,554,,,,
0,9,7,0.1,VI 45,344,1.6,1817,VI 95,133,0.533333333,552,0.412706802,0.477121255,0.51741585,533,,,,
0,9,8,0.1,VI 45,323,1.6,1747,VI 95,147,0.533333333,594,0.341885188,0.477121255,0.46850646,595,,,,
0,9,9,0.1,VI 45,295,1.6,1616,VI 95,161,0.533333333,640,0.26299614,0.477121255,0.402261382,601,,,,
0,10,0,0.1,VI 70,203,0.533333333,785,VI 70,208,1.6,1315,-0.010567297,-0.477121255,-0.224056096,583,,,,
0,10,1,0.1,VI 70,190,0.533333333,738,VI 70,211,1.6,1285,-0.045528854,-0.477121255,-0.240846766,626,,,,
0,10,2,0.1,VI 70,198,0.533333333,769,VI 70,220,1.6,1317,-0.045757491,-0.477121255,-0.233659435,583,,,,
0,10,3,0.1,VI 70,204,0.533333333,736,VI 70,231,1.6,1340,-0.053981812,-0.477121255,-0.260226984,580,,,,
0,10,4,0.1,VI 70,201,0.533333333,695,VI 70,226,1.6,1354,-0.050912382,-0.477121255,-0.28963386,600,,,,
0,10,5,0.1,VI 70,209,0.533333333,815,VI 70,220,1.6,1404,-0.022276395,-0.477121255,-0.236209499,643,,,,
0,10,6,0.1,VI 70,184,0.533333333,736,VI 70,209,1.6,1336,-0.055328463,-0.477121255,-0.258928644,620,,,,
0,10,7,0.1,VI 70,205,0.533333333,782,VI 70,198,1.6,1186,0.015088671,-0.477121255,-0.180877936,567,,,,
0,10,8,0.1,VI 70,195,0.533333333,789,VI 70,211,1.6,1322,-0.034247844,-0.477121255,-0.224154452,614,,,,
0,10,9,0.1,VI 70,195,0.533333333,801,VI 70,233,1.6,1375,-0.07732131,-0.477121255,-0.234670182,685,,,,
0,11,0,0.1,VI 70,194,0.64516129,841,VI 70,208,1.052631579,1109,-0.030261605,-0.212608093,-0.12013555,594,,,,
0,11,1,0.1,VI 70,210,0.64516129,915,VI 70,188,1.052631579,1007,0.048061445,-0.212608093,-0.041608376,628,,,,
0,11,2,0.1,VI 70,203,0.64516129,881,VI 70,213,1.052631579,1018,-0.020883566,-0.212608093,-0.06277187,587,,,,
0,11,3,0.1,VI 70,219,0.64516129,893,VI 70,213,1.052631579,1115,0.012064511,-0.212608093,-0.096423408,705,,,,
0,11,5,0.1,VI 70,203,0.64516129,833,VI 70,210,1.052631579,1131,-0.014723257,-0.212608093,-0.132817604,608,,,,
0,11,4,0.1,VI 70,184,0.64516129,823,VI 70,212,1.052631579,1134,-0.061518038,-0.212608093,-0.139213219,605,,,,
0,11,6,0.1,VI 70,187,0.64516129,787,VI 70,227,1.052631579,1122,-0.084184251,-0.212608093,-0.154018125,573,,,,
0,11,8,0.1,VI 70,164,0.64516129,803,VI 70,213,1.052631579,1151,-0.113535755,-0.212608093,-0.156359778,642,,,,
0,11,7,0.1,VI 70,205,0.64516129,838,VI 70,208,1.052631579,1030,-0.006309474,-0.212608093,-0.089593206,588,,,,
0,12,0,0.1,VI 70,184,0.8,930,VI 70,221,0.8,988,-0.079574451,0,-0.026273996,617,,,,
