run_index,repetition_index,Sch 1,R1,B1,M1,Sch 2,R2,B2,M2,log(R1/R2),log(B1/B2),log(M1/M2),Changeovers
16,1,VI 95,199,3236,0.645,VI 45,308,1234,1.05,-0.18969764009073764,0.4186933532430118,-0.21162958443467028,931
16,2,VI 95,188,3198,0.645,VI 45,303,1190,1.05,-0.20728477923862518,0.4293314980176851,-0.21162958443467028,966
16,3,VI 95,191,3240,0.645,VI 45,298,1183,1.05,-0.19318289682852768,0.4375602655786818,-0.21162958443467028,972
16,4,VI 95,186,3177,0.645,VI 45,294,1221,1.05,-0.19883438619424096,0.415301550882265,-0.21162958443467028,927
16,5,VI 95,203,3225,0.645,VI 45,279,1122,1.05,-0.13810816536038464,0.458536862051144,-0.21162958443467028,983
16,6,VI 95,191,3288,0.645,VI 45,275,1129,1.05,-0.1582993265825351,0.4642378669430449,-0.21162958443467028,952
16,7,VI 95,160,2833,0.645,VI 45,302,1282,1.05,-0.27588696030122584,0.34435854933763854,-0.21162958443467028,904
16,8,VI 95,180,2937,0.645,VI 45,300,1222,1.05,-0.2218487496163564,0.3808327406162649,-0.21162958443467028,925
16,9,VI 95,172,2985,0.645,VI 45,288,1278,1.05,-0.22386404085168193,0.3684134816430065,-0.21162958443467028,952
17,0,VI 95,163,1960,0.8,VI 45,347,3909,0.8,-0.3281418703869159,-0.29980959907577104,0.0,1185
17,1,VI 95,149,1874,0.8,VI 45,378,3997,0.8,-0.4043055314249513,-0.3289645617083454,0.0,1140
17,2,VI 95,175,2071,0.8,VI 45,352,3854,0.8,-0.3035046147918366,-0.26973161142598157,0.0,1256
17,3,VI 95,166,2075,0.8,VI 45,351,3860,0.8,-0.325199028425769,-0.26956920362364345,0.0,1205
17,4,VI 95,161,1916,0.8,VI 45,359,3927,0.8,-0.3482685725464694,-0.3116653965278926,0.0,1160
17,5,VI 95,148,1812,0.8,VI 45,341,3914,0.8,-0.36249266359754034,-0.3344626279811881,0.0,1113
17,6,VI 95,154,1958,0.8,VI 45,324,3654,0.8,-0.3230242893701491,-0.27095585554939994,0.0,1130
17,7,VI 95,182,2197,0.8,VI 45,309,3392,0.8,-0.22988709143975986,-0.18862578666416593,0.0,1162
17,8,VI 95,148,1784,0.8,VI 45,381,4194,0.8,-0.4106632602806619,-0.37123357608922075,0.0,1180
17,9,VI 95,156,1886,0.8,VI 45,376,4000,0.8,-0.38206324657319946,-0.32651830292665285,0.0,1223
18,0,VI 95,147,772,1.05,VI 45,378,5634,0.645,-0.41017446508904926,-0.8631995423140184,0.2116295844346703,944
18,1,VI 95,156,764,1.05,VI 45,365,5350,0.645,-0.3691682661020131,-0.8452604234455385,0.2116295844346703,946
18,2,VI 95,143,669,1.05,VI 45,394,5682,0.645,-0.44016018436051235,-0.929075111619094,0.2116295844346703,856
18,3,VI 95,167,754,1.05,VI 45,398,5483,0.645,-0.3771666009261046,-0.8616469000137068,0.2116295844346703,878
18,4,VI 95,172,837,1.05,VI 45,356,5201,0.645,-0.31592155106532627,-0.7933613957815722,0.2116295844346703,946
18,5,VI 95,145,661,1.05,VI 45,416,5979,0.645,-0.4577253283917679,-0.9564270939345098,0.2116295844346703,825
18,6,VI 95,159,719,1.05,VI 45,389,5616,0.645,-0.38855247700525625,-0.8926982087388663,0.2116295844346703,894
18,7,VI 95,152,756,1.05,VI 45,379,5521,0.645,-0.3967956220232998,-0.8634959516389317,0.2116295844346703,933
18,8,VI 95,166,790,1.05,VI 45,379,5559,0.645,-0.3585311219280172,-0.8473695827481186,0.2116295844346703,935
18,9,VI 95,154,774,1.05,VI 45,380,5490,0.645,-0.39226287578034713,-0.8508313837671994,0.2116295844346703,968
19,0,VI 95,106,175,1.6,VI 45,331,4910,0.533,-0.4945221285109485,-1.448043443436674,0.4773927736293525,330
19,1,VI 95,106,162,1.6,VI 45,334,4961,0.533,-0.4984406015467942,-1.4860542124935545,0.4773927736293525,310
19,2,VI 95,108,164,1.6,VI 45,312,4712,0.533,-0.4607308385314931,-1.4583614337313473,0.4773927736293525,313
19,3,VI 95,106,175,1.6,VI 45,325,4740,0.533,-0.4865774957141042,-1.4327402929877906,0.4773927736293525,324
