net_type,run_index,repetition_index,mutation_rate,Sch 1,R1,M1,B1,Sch 2,R2,M2,B2,log(R1/R2),log(M1/M2),log(B1/B2),Changeovers,am,ar,log(b)
-1,8,4,0.1,VI 45,1763,1.052631579,8337,VI 95,815,0.64516129,4535,0.335094704,0.212608093,0.26443251,5692,,,
-1,9,6,0.1,VI 45,1773,1.6,8561,VI 95,835,0.533333333,4177,0.32702226,0.477121255,0.311660022,5532,,,
-1,8,8,0.1,VI 45,1699,1.052631579,8161,VI 95,864,0.64516129,4597,0.293679636,0.212608093,0.249268874,5779,,,
-1,9,2,0.1,VI 45,1805,1.6,8501,VI 95,815,0.533333333,4202,0.345319598,0.477121255,0.306013968,5482,,,
-1,10,0,0.1,VI 70,1111,0.533333333,4708,VI 70,1230,1.6,8000,-0.044191052,-0.477121255,-0.230253533,5687,,,
-1,6,8,0.1,VI 45,1721,0.64516129,6763,VI 95,891,1.052631579,6015,0.285903166,-0.212608093,0.050903756,5682,,,
-1,10,4,0.1,VI 70,1085,0.533333333,4558,VI 70,1170,1.6,7998,-0.032756124,-0.477121255,-0.244207079,5519,,,
-1,11,2,0.1,VI 70,1142,0.64516129,5442,VI 70,1194,1.052631579,7409,-0.019338223,-0.212608093,-0.134001057,5752,,,
-1,10,8,0.1,VI 70,1083,0.533333333,4596,VI 70,1228,1.6,8145,-0.05456991,-0.477121255,-0.248511069,5629,,,
-1,11,6,0.1,VI 70,1104,0.64516129,5372,VI 70,1217,1.052631579,7421,-0.042321505,-0.212608093,-0.140326428,5875,,,
-1,12,0,0.1,VI 70,1134,0.8,6440,VI 70,1141,0.8,6423,-0.00267259,0,0.001147945,5755,,,
-1,12,4,0.1,VI 70,1162,0.8,6417,VI 70,1145,0.8,6388,0.006400641,0,0.001967132,5698,,,
-1,6,5,0.1,VI 45,1640,0.64516129,6477,VI 95,1013,1.052631579,6401,0.209234403,-0.212608093,0.00512607,5736,,,
-1,7,3,0.1,VI 45,1700,0.8,7631,VI 95,893,0.8,5144,0.279597462,0,0.171280494,5605,,,
-1,7,7,0.1,VI 45,1710,0.8,7765,VI 95,893,0.8,5283,0.282144652,0,0.167260849,5902,,,
-1,8,1,0.1,VI 45,1763,1.052631579,8333,VI 95,820,0.64516129,4599,0.33243846,0.212608093,0.258137972,5775,,,
-1,8,5,0.1,VI 45,1761,1.052631579,8247,VI 95,783,0.64516129,4442,0.351997594,0.212608093,0.26871744,5616,,,
-1,9,7,0.1,VI 45,1836,1.6,8494,VI 95,819,0.533333333,4237,0.350588775,0.477121255,0.302053793,5620,,,
-1,8,9,0.1,VI 45,1770,1.052631579,8338,VI 95,831,0.64516129,4481,0.328372243,0.212608093,0.269686947,5786,,,
-1,9,3,0.1,VI 45,1788,1.6,8622,VI 95,861,0.533333333,4266,0.317364363,0.477121255,0.305587167,5741,,,
-1,6,9,0.1,VI 45,1614,0.64516129,6756,VI 95,878,1.052631579,6132,0.264409014,-0.212608093,0.042087495,5823,,,
-1,10,5,0.1,VI 70,1090,0.533333333,4743,VI 70,1155,1.6,8069,-0.025155486,-0.477121255,-0.230766591,5788,,,
-1,10,1,0.1,VI 70,1092,0.533333333,4674,VI 70,1243,1.6,8120,-0.05624849,-0.477121255,-0.239867321,5840,,,
-1,11,3,0.1,VI 70,1131,0.64516129,5341,VI 70,1260,1.052631579,7437,-0.04690794,-0.212608093,-0.143775204,5837,,,
-1,10,9,0.1,VI 70,1065,0.533333333,4682,VI 70,1196,1.6,8060,-0.050381572,-0.477121255,-0.235903632,5683,,,
-1,11,7,0.1,VI 70,1098,0.64516129,5381,VI 70,1180,1.052631579,7462,-0.031279667,-0.212608093,-0.141992253,5804,,,
-1,12,1,0.1,VI 70,1152,0.8,6499,VI 70,1123,0.8,6369,0.011072723,0,0.008775288,5830,,,
-1,12,5,0.1,VI 70,1157,0.8,6500,VI 70,1125,0.8,6326,0.012180837,0,0.011784169,5695,,,
-1,6,6,0.1,VI 45,1683,0.64516129,6906,VI 95,884,1.052631579,6124,0.279631851,-0.212608093,0.052191392,5820,,,
-1,7,8,0.1,VI 45,1721,0.8,7725,VI 95,861,0.8,5116,0.300777719,0,0.178967952,5762,,,
-1,7,4,0.1,VI 45,1736,0.8,7814,VI 95,870,0.8,5122,0.300030468,0,0.183433833,5804,,,
-1,8,6,0.1,VI 45,1704,1.052631579,8217,VI 95,880,0.64516129,4613,0.286986918,0.212608093,0.250729832,5681,,,
-1,9,0,0.1,VI 45,1759,1.6,8594,VI 95,842,0.533333333,4208,0.319953748,0.477121255,0.310119618,5551,,,
-1,9,8,0.1,VI 45,1742,1.6,8565,VI 95,818,0.533333333,4154,0.328294847,0.477121255,0.314260875,5548,,,
-1,9,4,0.1,VI 45,1797,1.6,8560,VI 95,835,0.533333333,4302,0.332861602,0.477121255,0.298803359,5752,,,
-1,7,0,0.1,VI 45,1731,0.8,7864,VI 95,840,0.8,5012,0.314017782,0,0.195632443,5601,,,
-1,8,2,0.1,VI 45,1787,1.052631579,8421,VI 95,848,0.64516129,4462,0.3237287,0.212608093,0.275834101,5797,,,
-1,10,6,0.1,VI 70,1042,0.533333333,4615,VI 70,1240,1.6,8090,-0.075553966,-0.477121255,-0.243776816,5698,,,
-1,10,2,0.1,VI 70,1075,0.533333333,4473,VI 70,1231,1.6,8060,-0.058849589,-0.477121255,-0.255736144,5480,,,
-1,11,4,0.1,VI 70,1157,0.64516129,5450,VI 70,1187,1.052631579,7370,-0.01111736,-0.212608093,-0.131070986,5840,,,
-1,11,8,0.1,VI 70,1118,0.64516129,5337,VI 70,1199,1.052631579,7329,-0.03037738,-0.212608093,-0.137747519,5811,,,
-1,11,0,0.1,VI 70,1103,0.64516129,5425,VI 70,1190,1.052631579,7484,-0.032971449,-0.212608093,-0.139734036,5853,,,
-1,12,2,0.1,VI 70,1139,0.8,6421,VI 70,1131,0.8,6435,0.003061119,0,-0.000945881,5712,,,
-1,12,6,0.1,VI 70,1095,0.8,6191,VI 70,1192,0.8,6531,-0.036862136,0,-0.02321888,5794,,,
-1,6,7,0.1,VI 45,1621,0.64516129,6588,VI 95,895,1.052631579,6112,0.25795998,-0.212608093,0.032570245,5841,,,
-1,7,5,0.1,VI 45,1716,0.8,7831,VI 95,847,0.8,5079,0.306633873,0,0.188039011,5772,,,
-1,7,9,0.1,VI 45,1668,0.8,7506,VI 95,921,0.8,5257,0.257936416,0,0.154670583,5734,,,
-1,8,7,0.1,VI 45,1740,1.052631579,8350,VI 95,838,0.64516129,4519,0.31730523,0.212608093,0.266644134,5670,,,
-1,9,1,0.1,VI 45,1812,1.6,8473,VI 95,805,0.533333333,4102,0.352362313,0.477121255,0.31504155,5495,,,
-1,9,5,0.1,VI 45,1788,1.6,8581,VI 95,817,0.533333333,4242,0.340145458,0.477121255,0.305967238,5644,,,
-1,9,9,0.1,VI 45,1736,1.6,8531,VI 95,862,0.533333333,4215,0.304042455,0.477121255,0.306202363,5570,,,
-1,8,3,0.1,VI 45,1773,1.052631579,8417,VI 95,841,0.64516129,4523,0.32391274,0.212608093,0.269730739,5665,,,
-1,7,1,0.1,VI 45,1704,0.8,7737,VI 95,877,0.8,5186,0.288469997,0,0.173740084,5814,,,
-1,10,7,0.1,VI 70,1049,0.533333333,4549,VI 70,1215,1.6,7968,-0.06380079,-0.477121255,-0.243433389,5511,,,
-1,11,5,0.1,VI 70,1135,0.64516129,5408,VI 70,1230,1.052631579,7528,-0.03490925,-0.212608093,-0.143642927,5752,,,
-1,10,3,0.1,VI 70,1095,0.533333333,4567,VI 70,1255,1.6,8167,-0.059229607,-0.477121255,-0.252431544,5583,,,
-1,11,9,0.1,VI 70,1112,0.64516129,5476,VI 70,1151,1.052631579,7293,-0.014970536,-0.212608093,-0.124442774,5743,,,
-1,11,1,0.1,VI 70,1138,0.64516129,5555,VI 70,1168,1.052631579,7345,-0.011300581,-0.212608093,-0.121307737,5756,,,
-1,12,7,0.1,VI 70,1154,0.8,6507,VI 70,1125,0.8,6447,0.011053286,0,0.004023137,5733,,,
-1,12,3,0.1,VI 70,1177,0.8,6447,VI 70,1181,0.8,6421,-0.001473435,0,0.001755,5717,,,
-1,12,8,0.1,VI 70,1174,0.8,6467,VI 70,1148,0.8,6441,0.009726209,0,0.001749562,5783,,,
-1,13,6,0.1,VI 70,1151,1.052631579,7395,VI 70,1135,0.64516129,5496,0.006079462,0.212608093,0.128891454,5681,,,
-1,14,8,0.1,VI 70,1226,1.6,8060,VI 70,1114,0.533333333,4632,0.041605279,0.477121255,0.240566491,5681,,,
-1,14,0,0.1,VI 70,1198,1.6,8244,VI 70,1061,0.533333333,4715,0.052741434,0.477121255,0.242656286,5696,,,
-1,13,2,0.1,VI 70,1202,1.052631579,7347,VI 70,1157,0.64516129,5451,0.016571109,0.212608093,0.129633858,5817,,,
-1,15,2,0.1,VI 95,804,0.533333333,4172,VI 45,1723,1.6,8505,-0.331029229,-0.477121255,-0.309330018,5495,,,
-1,14,4,0.1,VI 70,1157,1.6,7952,VI 70,1071,0.533333333,4548,0.033543888,0.477121255,0.242655915,5556,,,
-1,16,4,0.1,VI 95,848,0.64516129,4473,VI 45,1794,1.052631579,8245,-0.325426586,-0.212608093,-0.265591762,5579,,,
-1,16,8,0.1,VI 95,867,0.64516129,4536,VI 45,1747,1.052631579,8299,-0.304273808,-0.212608093,-0.262352719,5747,,,
-1,16,0,0.1,VI 95,823,0.64516129,4487,VI 45,1777,1.052631579,8422,-0.334287593,-0.212608093,-0.273459168,5689,,,
-1,15,6,0.1,VI 95,841,0.533333333,4072,VI 45,1794,1.6,8574,-0.329026443,-0.477121255,-0.32337571,5458,,,
-1,17,2,0.1,VI 95,841,0.8,5029,VI 45,1692,0.8,7666,-0.303604363,0,-0.183087179,5593,,,
-1,17,6,0.1,VI 95,853,0.8,5059,VI 45,1779,0.8,7829,-0.319226917,0,-0.189641614,5830,,,
-1,18,0,0.1,VI 95,886,1.052631579,6153,VI 45,1616,0.64516129,6693,-0.261007635,0.212608093,-0.03653391,5677,,,
-1,18,4,0.1,VI 95,899,1.052631579,6146,VI 45,1675,0.64516129,6913,-0.27025512,0.212608093,-0.051074001,5859,,,
-1,18,8,0.1,VI 95,960,1.052631579,6378,VI 45,1633,0.64516129,6656,-0.230714952,0.212608093,-0.018528798,5838,,,
-1,12,9,0.1,VI 70,1118,0.8,6297,VI 70,1229,0.8,6617,-0.041110079,0,-0.021527441,5779,,,
-1,13,7,0.1,VI 70,1200,1.052631579,7279,VI 70,1158,0.64516129,5436,0.015472687,0.212608093,0.126792271,5684,,,
-1,14,1,0.1,VI 70,1254,1.6,8039,VI 70,1060,0.533333333,4509,0.072991671,0.477121255,0.251121793,5470,,,
-1,15,3,0.1,VI 95,843,0.533333333,4131,VI 45,1808,1.6,8524,-0.331370852,-0.477121255,-0.314588246,5420,,,
-1,14,9,0.1,VI 70,1154,1.6,8132,VI 70,1072,0.533333333,4646,0.032011023,0.477121255,0.243118165,5771,,,
-1,14,5,0.1,VI 70,1179,1.6,8084,VI 70,1130,0.533333333,4669,0.018435362,0.477121255,0.238402431,5650,,,
-1,13,3,0.1,VI 70,1257,1.052631579,7502,VI 70,1146,0.64516129,5215,0.04015066,0.212608093,0.157922747,5665,,,
-1,16,5,0.1,VI 95,852,0.64516129,4621,VI 45,1814,1.052631579,8343,-0.328197688,-0.212608093,-0.256586275,5814,,,
-1,16,9,0.1,VI 95,840,0.64516129,4520,VI 45,1758,1.052631579,8363,-0.320739585,-0.212608093,-0.267223662,5677,,,
