net_type,run_index,repetition_index,mutation_rate,Sch 1,R1,M1,B1,Sch 2,R2,M2,B2,interaction,log(R1/R2),log(M1/M2),log(B1/B2),am,ar,ai,log(b),(log(M1/M2))^2,(log(R1/R2)) * (log(M1/M2)),(log(R1/R1))^2,Changeovers,A,B,C,G
1,8,8,0.1,VI 45,284,1.052631579,1260,VI 95,153,0.64516129,587,0.057112255,0.268626909,0.212608093,0.331732444,,,,,0.045202201,0.057112255,0.072160416,549,,,,
1,10,4,0.1,VI 70,185,0.533333333,676,VI 70,229,1.6,1377,0.044211847,-0.092663754,-0.477121255,-0.308987244,,,,,0.227644692,0.044211847,0.008586571,560,,,,
1,9,6,0.1,VI 45,343,1.6,1854,VI 95,125,0.533333333,456,0.209162375,0.438384107,0.477121255,0.609144887,,,,,0.227644692,0.209162375,0.192180625,453,,,,
1,9,2,0.1,VI 45,329,1.6,1817,VI 95,137,0.533333333,446,0.181532867,0.380475331,0.477121255,0.610020069,,,,,0.227644692,0.181532867,0.144761477,497,,,,
1,10,0,0.1,VI 70,188,0.533333333,648,VI 70,215,1.6,1273,0.027806918,-0.058280611,-0.477121255,-0.293253398,,,,,0.227644692,0.027806918,0.00339663,541,,,,
1,10,8,0.1,VI 70,190,0.533333333,681,VI 70,224,1.6,1349,0.034111506,-0.071494417,-0.477121255,-0.296864838,,,,,0.227644692,0.034111506,0.005111452,552,,,,
1,11,2,0.1,VI 70,196,0.64516129,755,VI 70,216,1.052631579,1039,0.008971568,-0.04219768,-0.212608093,-0.138668596,,,,,0.045202201,0.008971568,0.001780644,570,,,,
1,12,0,0.1,VI 70,208,0.8,924,VI 70,193,0.8,864,0,0.032506026,0,0.029158229,,,,,0,0,0.001056642,583,,,,
1,11,6,0.1,VI 70,194,0.64516129,758,VI 70,207,1.052631579,1081,0.005988876,-0.028168616,-0.212608093,-0.154156488,,,,,0.045202201,0.005988876,0.000793471,611,,,,
1,12,4,0.1,VI 70,185,0.8,801,VI 70,227,0.8,999,0,-0.088854129,0,-0.095932972,,,,,0,0,0.007895056,651,,,,
1,7,3,0.1,VI 45,300,0.8,1126,VI 95,146,0.8,716,0,0.312768399,0,0.196625368,,,,,0,0,0.097824071,593,,,,
1,6,5,0.1,VI 45,276,0.64516129,867,VI 95,171,1.052631579,860,-0.04420398,0.207912972,-0.212608093,0.003520646,,,,,0.045202201,-0.04420398,0.043227804,563,,,,
1,6,9,0.1,VI 45,275,0.64516129,921,VI 95,172,1.052631579,896,-0.043330432,0.203804247,-0.212608093,0.011951621,,,,,0.045202201,-0.043330432,0.041536171,611,,,,
1,7,7,0.1,VI 45,292,0.8,1048,VI 95,171,0.8,821,0,0.232386741,0,0.106018126,,,,,0,0,0.054003597,617,,,,
1,8,9,0.1,VI 45,308,1.052631579,1333,VI 95,152,0.64516129,627,0.065208418,0.306707129,0.212608093,0.327562609,,,,,0.045202201,0.065208418,0.094069263,586,,,,
1,10,5,0.1,VI 70,182,0.533333333,618,VI 70,238,1.6,1413,0.055587283,-0.116505569,-0.477121255,-0.359153687,,,,,0.227644692,0.055587283,0.013573548,562,,,,
1,10,1,0.1,VI 70,185,0.533333333,633,VI 70,219,1.6,1293,0.034959813,-0.073272386,-0.477121255,-0.310194815,,,,,0.227644692,0.034959813,0.005368843,561,,,,
1,9,3,0.1,VI 45,323,1.6,1773,VI 95,149,0.533333333,533,0.160320497,0.336016254,0.477121255,0.521981527,,,,,0.227644692,0.160320497,0.112906923,498,,,,
1,9,7,0.1,VI 45,338,1.6,1796,VI 95,129,0.533333333,493,0.199592698,0.41832699,0.477121255,0.561459413,,,,,0.227644692,0.199592698,0.174997471,526,,,,
1,8,5,0.1,VI 45,306,1.052631579,1235,VI 95,159,0.64516129,637,0.060449648,0.284324302,0.212608093,0.287527525,,,,,0.045202201,0.060449648,0.080840309,551,,,,
1,8,1,0.1,VI 45,319,1.052631579,1305,VI 95,151,0.64516129,630,0.069058029,0.324813736,0.212608093,0.316269962,,,,,0.045202201,0.069058029,0.105503963,584,,,,
1,10,9,0.1,VI 70,170,0.533333333,565,VI 70,229,1.6,1329,0.061733078,-0.129386561,-0.477121255,-0.371476533,,,,,0.227644692,0.061733078,0.016740882,554,,,,
1,11,3,0.1,VI 70,215,0.64516129,879,VI 70,198,1.052631579,1003,-0.007605687,0.03577327,-0.212608093,-0.057312058,,,,,0.045202201,-0.007605687,0.001279727,617,,,,
1,12,1,0.1,VI 70,190,0.8,816,VI 70,219,0.8,901,0,-0.061690514,0,-0.043034632,,,,,0,0,0.00380572,587,,,,
1,12,5,0.1,VI 70,191,0.8,841,VI 70,216,0.8,851,0,-0.053420384,0,-0.005133564,,,,,0,0,0.002853737,581,,,,
1,11,7,0.1,VI 70,174,0.64516129,721,VI 70,218,1.052631579,1155,0.020815873,-0.097907245,-0.212608093,-0.20464672,,,,,0.045202201,0.020815873,0.009585829,605,,,,
1,6,6,0.1,VI 45,282,0.64516129,973,VI 95,162,1.052631579,856,-0.051182017,0.240734094,-0.212608093,0.055639076,,,,,0.045202201,-0.051182017,0.057952904,587,,,,
