net_type,run_index,repetition_index,mutation_rate,Sch 1,R1,M1,B1,Sch 2,R2,M2,B2,log(R1/R2),log(M1/M2),log(B1/B2),Changeovers,,,,
0,6,2,0.15,VI 45,326,0.64516129,1280,VI 95,147,1.052631579,1057,0.345900265,-0.212608093,0.083134982,825,,,,
0,6,3,0.15,VI 45,316,0.64516129,1205,VI 95,186,1.052631579,1243,0.230174138,-0.212608093,-0.013484082,876,,,,
0,6,4,0.15,VI 45,335,0.64516129,1251,VI 95,183,1.052631579,1097,0.262593717,-0.212608093,0.057050682,843,,,,
0,6,5,0.15,VI 45,314,0.64516129,1251,VI 95,174,1.052631579,1089,0.2563804,-0.212608093,0.06022943,833,,,,
0,6,7,0.15,VI 45,295,0.64516129,1255,VI 95,183,1.052631579,1242,0.207370926,-0.212608093,0.00452213,915,,,,
0,6,6,0.15,VI 45,302,0.64516129,1260,VI 95,178,1.052631579,1151,0.229586941,-0.212608093,0.039295221,835,,,,
0,6,8,0.15,VI 45,324,0.64516129,1280,VI 95,167,1.052631579,1107,0.287828539,-0.212608093,0.063062349,825,,,,
0,7,0,0.15,VI 45,313,0.8,1332,VI 95,166,0.8,1007,0.27543625,0,0.121474754,879,,,,
0,6,9,0.15,VI 45,337,0.64516129,1362,VI 95,168,1.052631579,1080,0.302320619,-0.212608093,0.100753352,840,,,,
0,7,1,0.15,VI 45,321,0.8,1466,VI 95,155,0.8,967,0.316173334,0,0.180707496,818,,,,
0,7,2,0.15,VI 45,307,0.8,1343,VI 95,190,0.8,1084,0.208384775,0,0.09304673,886,,,,
0,7,3,0.15,VI 45,309,0.8,1394,VI 95,171,0.8,990,0.256962369,0,0.148627579,835,,,,
0,7,4,0.15,VI 45,315,0.8,1404,VI 95,155,0.8,977,0.307978856,0,0.157472544,874,,,,
0,7,5,0.15,VI 45,314,0.8,1455,VI 95,154,0.8,942,0.309408927,0,0.188812091,824,,,,
0,7,6,0.15,VI 45,314,0.8,1417,VI 95,154,0.8,1004,0.309408927,0,0.149636137,879,,,,
0,7,7,0.15,VI 45,320,0.8,1387,VI 95,178,0.8,994,0.254729976,0,0.144690077,815,,,,
0,7,8,0.15,VI 45,302,0.8,1368,VI 95,161,0.8,970,0.273181067,0,0.149314363,817,,,,
0,8,1,0.15,VI 45,316,1.052631579,1588,VI 95,171,0.64516129,863,0.266690972,0.212608093,0.264839702,808,,,,
0,8,0,0.15,VI 45,305,1.052631579,1591,VI 95,162,0.64516129,917,0.274784825,0.212608093,0.239300844,849,,,,
0,7,9,0.15,VI 45,324,0.8,1445,VI 95,151,0.8,974,0.331568063,0,0.17130889,918,,,,
0,8,2,0.15,VI 45,328,1.052631579,1652,VI 95,153,0.64516129,942,0.331182413,0.212608093,0.24395914,866,,,,
0,8,3,0.15,VI 45,316,1.052631579,1672,VI 95,165,0.64516129,885,0.282203138,0.212608093,0.276293002,842,,,,
0,8,4,0.15,VI 45,346,1.052631579,1684,VI 95,166,0.64516129,859,0.318968011,0.212608093,0.292348923,806,,,,
0,8,5,0.15,VI 45,316,1.052631579,1640,VI 95,168,0.64516129,890,0.274377801,0.212608093,0.265453841,836,,,,
0,8,6,0.15,VI 45,308,1.052631579,1648,VI 95,157,0.64516129,867,0.292651064,0.212608093,0.27893811,848,,,,
0,8,7,0.15,VI 45,315,1.052631579,1597,VI 95,161,0.64516129,877,0.291484678,0.212608093,0.260305323,836,,,,
