net_type,run_index,repetition_index,Sch 1,R1,B1,M1,Sch 2,R2,B2,M2,log(R1/R2),log(M1/M2),log(B1/B2),Changeovers,,,,
1,5,9,VI 45,246,745,0.533333333,VI 95,170,1129,1.6,0.160486186,-0.477121255,-0.180537669,596,,,,
1,6,0,VI 45,287,970,0.64516129,VI 95,160,832,1.052631579,0.253761914,-0.212608093,0.066648408,574,,,,
1,6,1,VI 45,276,931,0.64516129,VI 95,155,848,1.052631579,0.250577384,-0.212608093,0.040553829,560,,,,
1,6,2,VI 45,268,840,0.64516129,VI 95,185,976,1.052631579,0.160963066,-0.212608093,-0.065170532,608,,,,
1,6,3,VI 45,273,902,0.64516129,VI 95,162,880,1.052631579,0.226647632,-0.212608093,0.010723865,583,,,,
1,6,4,VI 45,293,939,0.64516129,VI 95,157,821,1.052631579,0.270967968,-0.212608093,0.058322435,586,,,,
1,6,5,VI 45,265,914,0.64516129,VI 95,163,925,1.052631579,0.21105827,-0.212608093,-0.005195537,638,,,,
1,6,6,VI 45,269,921,0.64516129,VI 95,160,871,1.052631579,0.225632297,-0.212608093,0.024241475,557,,,,
1,6,7,VI 45,277,902,0.64516129,VI 95,160,819,1.052631579,0.238359786,-0.212608093,0.041922636,609,,,,
1,6,8,VI 45,295,966,0.64516129,VI 95,144,816,1.052631579,0.311459524,-0.212608093,0.073286968,612,,,,
1,6,9,VI 45,261,855,0.64516129,VI 95,171,889,1.052631579,0.183644397,-0.212608093,-0.016935646,578,,,,
1,7,0,VI 45,304,1208,0.8,VI 95,127,650,0.8,0.379069863,0,0.269153578,605,,,,
1,7,1,VI 45,309,1116,0.8,VI 95,149,677,0.8,0.316772211,0,0.217075526,595,,,,
1,7,2,VI 45,286,1050,0.8,VI 95,143,703,0.8,0.301029996,0,0.174233974,539,,,,
1,7,3,VI 45,302,1072,0.8,VI 95,161,728,0.8,0.273181067,0,0.168063406,655,,,,
1,7,4,VI 45,324,1206,0.8,VI 95,139,620,0.8,0.36753021,0,0.288955618,555,,,,
1,7,5,VI 45,284,1035,0.8,VI 95,165,747,0.8,0.235834396,0,0.141619748,585,,,,
1,7,6,VI 45,281,1101,0.8,VI 95,147,703,0.8,0.281388985,0,0.194831994,627,,,,
1,7,7,VI 45,296,1081,0.8,VI 95,150,706,0.8,0.295200452,0,0.185020993,603,,,,
1,7,8,VI 45,274,1041,0.8,VI 95,143,722,0.8,0.282414525,0,0.158913532,596,,,,
1,7,9,VI 45,312,1145,0.8,VI 95,142,675,0.8,0.34186625,0,0.229501714,613,,,,
1,8,0,VI 45,293,1226,1.052631579,VI 95,141,625,0.64516129,0.317648508,0.212608093,0.292610453,592,,,,
1,8,1,VI 45,304,1270,1.052631579,VI 95,147,634,0.64516129,0.315556249,0.212608093,0.301714463,619,,,,
1,8,2,VI 45,320,1323,1.052631579,VI 95,137,584,0.64516129,0.368429411,0.212608093,0.355146997,540,,,,
1,8,3,VI 45,282,1215,1.052631579,VI 95,165,653,0.64516129,0.232765164,0.212608093,0.269663097,593,,,,
1,8,4,VI 45,296,1288,1.052631579,VI 95,139,617,0.64516129,0.328276911,0.212608093,0.319630699,556,,,,
1,8,5,VI 45,302,1306,1.052631579,VI 95,146,606,0.64516129,0.315654087,0.212608093,0.333470553,564,,,,
1,8,6,VI 45,301,1247,1.052631579,VI 95,143,629,0.64516129,0.323230458,0.212608093,0.297215808,539,,,,
1,8,7,VI 45,345,1363,1.052631579,VI 95,146,588,0.64516129,0.373466239,0.212608093,0.36511853,559,,,,
1,8,8,VI 45,285,1201,1.052631579,VI 95,139,617,0.64516129,0.31183006,0.212608093,0.289257843,570,,,,
1,8,9,VI 45,280,1294,1.052631579,VI 95,143,602,0.64516129,0.291821994,0.212608093,0.332337785,543,,,,
1,9,0,VI 45,342,1801,1.6,VI 95,122,447,0.533333333,0.447666275,0.477121255,0.60520619,485,,,,
1,9,1,VI 45,306,1638,1.6,VI 95,125,448,0.533333333,0.388811413,0.477121255,0.563035883,460,,,,
1,9,2,VI 45,353,1854,1.6,VI 95,137,464,0.533333333,0.411054138,0.477121255,0.601591749,453,,,,
1,9,3,VI 45,329,1673,1.6,VI 95,124,443,0.533333333,0.423774213,0.477121255,0.577092215,441,,,,
1,9,4,VI 45,325,1676,1.6,VI 95,123,510,0.533333333,0.42197825,0.477121255,0.516703838,465,,,,
1,9,5,VI 45,343,1845,1.6,VI 95,134,462,0.533333333,0.408189322,0.477121255,0.601354395,482,,,,
1,9,6,VI 45,340,1765,1.6,VI 95,133,443,0.533333333,0.407627276,0.477121255,0.600340984,437,,,,
1,9,7,VI 45,358,1799,1.6,VI 95,130,476,0.533333333,0.439939674,0.477121255,0.577424211,479,,,,
1,9,8,VI 45,324,1727,1.6,VI 95,122,426,0.533333333,0.42418518,0.477121255,0.607882738,479,,,,
1,9,9,VI 45,308,1715,1.6,VI 95,123,436,0.533333333,0.398645605,0.477121255,0.594777635,444,,,,
1,10,0,VI 70,189,641,0.533333333,VI 70,218,1232,1.6,-0.061994689,-0.477121255,-0.283752678,566,,,,
1,10,1,VI 70,194,670,0.533333333,VI 70,227,1387,1.6,-0.068224127,-0.477121255,-0.316001658,594,,,,
1,10,2,VI 70,188,675,0.533333333,VI 70,224,1394,1.6,-0.076090169,-0.477121255,-0.314959001,568,,,,
1,10,3,VI 70,180,613,0.533333333,VI 70,202,1238,1.6,-0.050078864,-0.477121255,-0.30526017,531,,,,
1,10,4,VI 70,183,671,0.533333333,VI 70,206,1317,1.6,-0.051416131,-0.477121255,-0.292863255,571,,,,
1,10,5,VI 70,198,667,0.533333333,VI 70,209,1260,1.6,-0.023481096,-0.477121255,-0.276244711,562,,,,
1,10,6,VI 70,192,638,0.533333333,VI 70,226,1288,1.6,-0.07080721,-0.477121255,-0.305095184,553,,,,
1,10,7,VI 70,179,667,0.533333333,VI 70,213,1255,1.6,-0.075526572,-0.477121255,-0.274517892,568,,,,
1,10,8,VI 70,173,610,0.533333333,VI 70,220,1296,1.6,-0.104376578,-0.477121255,-0.327275167,545,,,,
1,10,9,VI 70,168,656,0.533333333,VI 70,218,1368,1.6,-0.113147212,-0.477121255,-0.319182258,546,,,,
1,11,0,VI 70,184,720,0.64516129,VI 70,211,1107,1.052631579,-0.059464632,-0.212608093,-0.186815124,592,,,,
1,11,1,VI 70,204,803,0.64516129,VI 70,213,994,1.052631579,-0.018749436,-0.212608093,-0.092670839,621,,,,
1,11,2,VI 70,184,763,0.64516129,VI 70,210,1060,1.052631579,-0.057401472,-0.212608093,-0.142781327,586,,,,
1,11,3,VI 70,183,734,0.64516129,VI 70,236,1046,1.052631579,-0.110460913,-0.212608093,-0.153835625,595,,,,
1,11,4,VI 70,197,730,0.64516129,VI 70,221,1093,1.052631579,-0.049926048,-0.212608093,-0.175297302,623,,,,
1,11,6,VI 70,217,833,0.64516129,VI 70,202,933,1.052631579,0.031108364,-0.212608093,-0.049236642,585,,,,
1,11,5,VI 70,185,719,0.64516129,VI 70,222,1055,1.052631579,-0.079181246,-0.212608093,-0.166523569,566,,,,
1,11,7,VI 70,191,719,0.64516129,VI 70,204,1070,1.052631579,-0.0285968,-0.212608093,-0.172654887,567,,,,
1,11,8,VI 70,190,724,0.64516129,VI 70,213,971,1.052631579,-0.049626002,-0.212608093,-0.127480664,549,,,,
1,12,0,VI 70,204,890,0.8,VI 70,220,927,0.8,-0.032792513,0,-0.017689727,611,,,,
1,11,9,VI 70,191,772,0.64516129,VI 70,204,994,1.052631579,-0.0285968,-0.212608093,-0.109769084,587,,,,
1,12,2,VI 70,200,833,0.8,VI 70,229,973,0.8,-0.058805487,0,-0.067467839,602,,,,
1,12,1,VI 70,208,887,0.8,VI 70,210,939,0.8,-0.00415596,0,-0.024741972,595,,,,
1,12,3,VI 70,202,877,0.8,VI 70,206,879,0.8,-0.008515851,0,-0.000989282,603,,,,
1,12,4,VI 70,210,889,0.8,VI 70,201,894,0.8,0.019023237,0,-0.002435758,588,,,,
1,12,5,VI 70,213,962,0.8,VI 70,208,872,0.8,0.010316268,0,0.042658587,652,,,,
1,12,6,VI 70,195,867,0.8,VI 70,201,926,0.8,-0.013161446,0,-0.028591889,589,,,,
1,12,7,VI 70,204,829,0.8,VI 70,229,950,0.8,-0.050205315,0,-0.059169075,609,,,,
1,12,8,VI 70,202,786,0.8,VI 70,217,901,0.8,-0.031108364,0,-0.059302245,558,,,,
1,12,9,VI 70,198,874,0.8,VI 70,207,934,0.8,-0.019305155,0,-0.028835444,646,,,,
1,13,0,VI 70,192,1040,1.052631579,VI 70,188,760,0.64516129,0.009143379,0.212608093,0.136219747,601,,,,
1,13,1,VI 70,210,1039,1.052631579,VI 70,197,747,0.64516129,0.027753069,0.212608093,0.143294946,599,,,,
1,13,2,VI 70,222,1102,1.052631579,VI 70,202,770,0.64516129,0.041001605,0.212608093,0.155690869,583,,,,
1,13,4,VI 70,203,977,1.052631579,VI 70,196,792,0.64516129,0.015239967,0.212608093,0.091169382,604,,,,
1,13,3,VI 70,215,1104,1.052631579,VI 70,181,752,0.64516129,0.074759885,0.212608093,0.166751233,630,,,,
1,13,5,VI 70,219,960,1.052631579,VI 70,208,788,0.64516129,0.02238078,0.212608093,0.085745016,562,,,,
1,13,6,VI 70,190,1018,1.052631579,VI 70,191,754,0.64516129,-0.002279766,0.212608093,0.130376432,620,,,,
1,13,8,VI 70,203,1047,1.052631579,VI 70,193,758,0.64516129,0.021938729,0.212608093,0.140277476,620,,,,
1,13,7,VI 70,220,1094,1.052631579,VI 70,197,749,0.64516129,0.047956455,0.212608093,0.164535504,618,,,,
1,13,9,VI 70,203,1064,1.052631579,VI 70,187,765,0.64516129,0.035654431,0.212608093,0.143280193,589,,,,
1,14,0,VI 70,224,1322,1.6,VI 70,172,610,0.533333333,0.114719571,0.477121255,0.33590162,559,,,,
1,14,2,VI 70,224,1321,1.6,VI 70,190,597,0.533333333,0.071494417,0.477121255,0.344928486,515,,,,
1,14,1,VI 70,229,1326,1.6,VI 70,189,675,0.533333333,0.083373678,0.477121255,0.293239751,577,,,,
1,14,3,VI 70,219,1361,1.6,VI 70,180,626,0.533333333,0.08517161,0.477121255,0.337283792,559,,,,
1,14,4,VI 70,209,1334,1.6,VI 70,162,582,0.533333333,0.110631272,0.477121255,0.360232845,527,,,,
1,14,5,VI 70,226,1287,1.6,VI 70,183,608,0.533333333,0.091657349,0.477121255,0.325674968,503,,,,
1,14,6,VI 70,227,1295,1.6,VI 70,192,677,0.533333333,0.072724628,0.477121255,0.2816811,599,,,,
1,14,7,VI 70,228,1314,1.6,VI 70,189,655,0.533333333,0.081473043,0.477121255,0.302354065,581,,,,
1,14,8,VI 70,228,1346,1.6,VI 70,179,624,0.533333333,0.105081816,0.477121255,0.33386047,556,,,,
1,14,9,VI 70,211,1371,1.6,VI 70,184,614,0.533333333,0.059464632,0.477121255,0.348869084,499,,,,
1,15,0,VI 95,132,476,0.533333333,VI 45,311,1669,1.6,-0.372186458,-0.477121255,-0.544849384,497,,,,
1,15,1,VI 95,149,488,0.533333333,VI 45,346,1799,1.6,-0.36588983,-0.477121255,-0.566611341,473,,,,
1,15,2,VI 95,136,482,0.533333333,VI 45,319,1724,1.6,-0.370251775,-0.477121255,-0.553490223,498,,,,
1,15,4,VI 95,131,448,0.533333333,VI 45,311,1650,1.6,-0.375489093,-0.477121255,-0.56620593,450,,,,
1,15,3,VI 95,143,458,0.533333333,VI 45,334,1692,1.6,-0.368410429,-0.477121255,-0.567534881,445,,,,
1,15,6,VI 95,138,484,0.533333333,VI 45,361,1709,1.6,-0.417628116,-0.477121255,-0.547896701,494,,,,
1,15,5,VI 95,119,431,0.533333333,VI 45,336,1753,1.6,-0.450792316,-0.477121255,-0.609304646,450,,,,
1,15,7,VI 95,131,462,0.533333333,VI 45,317,1712,1.6,-0.383787967,-0.477121255,-0.568861785,466,,,,
1,15,8,VI 95,133,492,0.533333333,VI 45,295,1614,1.6,-0.345970375,-0.477121255,-0.515938428,525,,,,
