run_index,repetition_index,R1,B1,M1,R2,B2,M2,log(R1/R2),log(B1/B2),log(M1/M2)
8,8,37,224,1,12,81,1,0.489020478,0.441762999,0
8,9,37,208,1,11,82,1,0.526809039,0.404249483,0
8,12,27,155,1,11,62,1,0.389971079,0.397940009,0
8,11,33,218,1,5,42,1,0.819543936,0.715207203,0
8,13,34,213,1,15,112,1,0.355387658,0.279161581,0
8,15,30,200,1,9,77,1,0.522878745,0.41453927,0
8,14,37,185,1,12,59,1,0.489020478,0.496319717,0
8,17,29,187,1,12,108,1,0.383216752,0.238417851,0
8,16,29,151,1,13,89,1,0.348454646,0.229586941,0
8,19,40,194,1,14,92,1,0.455931956,0.324013903,0
8,18,23,137,1,11,77,1,0.320335151,0.250229842,0
8,21,33,186,1,14,74,1,0.372385904,0.400281224,0
8,20,23,141,1,14,83,1,0.2155998,0.23014102,0
8,22,35,183,1,15,121,1,0.367976785,0.179665719,0
8,24,27,118,1,16,85,1,0.227243782,0.142463082,0
8,25,31,174,1,15,73,1,0.315270435,0.377226388,0
8,23,33,225,1,11,69,1,0.477121255,0.513333427,0
8,26,31,170,1,14,67,1,0.345233658,0.404374119,0
8,27,27,151,1,14,78,1,0.285235728,0.286882345,0
8,28,33,155,1,15,81,1,0.342422681,0.281846679,0
9,0,42,233,1,6,46,1,0.84509804,0.704598089,0
8,29,33,199,1,11,89,1,0.477121255,0.34946307,0
9,2,39,208,1,10,58,1,0.591064607,0.554635341,0
9,4,24,148,1,9,74,1,0.425968732,0.301029996,0
9,1,37,209,1,12,74,1,0.489020478,0.450914566,0
9,6,30,157,1,10,73,1,0.477121255,0.332576792,0
9,5,36,166,1,9,62,1,0.602059991,0.427716399,0
9,7,35,211,1,7,51,1,0.698970004,0.616712279,0
9,8,43,198,1,9,46,1,0.679225946,0.633907359,0
9,3,31,175,1,6,43,1,0.713210443,0.609569593,0
9,10,40,256,1,6,48,1,0.823908741,0.726998728,0
9,12,39,219,1,18,109,1,0.335792102,0.303017617,0
9,13,38,207,1,5,52,1,0.880813592,0.599967002,0
9,9,41,204,1,11,66,1,0.571391172,0.490086232,0
9,14,36,199,1,9,63,1,0.602059991,0.499512527,0
9,15,33,203,1,11,67,1,0.477121255,0.481421235,0
9,11,35,219,1,10,83,1,0.544068044,0.421366022,0
9,16,42,223,1,9,55,1,0.669006781,0.607942174,0
9,17,34,220,1,8,68,1,0.62838893,0.509913768,0
9,18,34,189,1,11,77,1,0.490086232,0.389971079,0
9,19,32,155,1,7,47,1,0.660051938,0.51823384,0
9,22,33,172,1,18,108,1,0.263241435,0.202104691,0
9,21,28,169,1,7,78,1,0.602059991,0.335792102,0
9,20,48,222,1,6,30,1,0.903089987,0.86923172,0
9,23,40,232,1,10,68,1,0.602059991,0.532979072,0
9,24,29,171,1,14,84,1,0.316269962,0.308716824,0
9,26,32,149,1,7,71,1,0.660051938,0.32192792,0
9,25,40,215,1,18,86,1,0.346787486,0.397940009,0
9,27,38,230,1,15,87,1,0.403692338,0.422208583,0
10,1,34,175,1,9,69,1,0.577236408,0.404188958,0
10,0,38,200,1,11,75,1,0.538390911,0.425968732,0
9,28,36,190,1,11,69,1,0.514909816,0.43990451,0
9,29,36,225,1,10,54,1,0.556302501,0.619788758,0
10,2,30,175,1,3,42,1,1,0.619788758,0
10,3,40,222,1,10,73,1,0.602059991,0.483030114,0
10,4,36,213,1,4,28,1,0.954242509,0.881221572,0
10,5,40,228,1,6,48,1,0.823908741,0.67669361,0
10,8,44,227,1,8,49,1,0.740362689,0.665829777,0
10,7,37,194,1,6,59,1,0.790050474,0.516949718,0
10,9,37,192,1,7,49,1,0.723103684,0.593105149,0
10,6,39,201,1,10,60,1,0.591064607,0.525044807,0
10,11,29,129,1,5,52,1,0.763427994,0.394586367,0
10,10,30,147,1,6,42,1,0.698970004,0.544068044,0
10,12,40,225,1,10,39,1,0.602059991,0.761117911,0
10,13,54,276,1,4,32,1,1.130333768,0.935759104,0
10,14,34,202,1,4,22,1,0.929418926,0.962928689,0
10,16,35,195,1,6,69,1,0.765916794,0.451185521,0
10,15,46,264,1,5,28,1,0.963787827,0.974445896,0
10,18,34,185,1,9,63,1,0.577236408,0.467831179,0
10,17,49,260,1,5,24,1,0.991226076,1.034762106,0
10,19,37,193,1,6,49,1,0.790050474,0.595361229,0
10,20,33,190,1,3,30,1,1.041392685,0.801632346,0
10,21,44,232,1,5,31,1,0.944482672,0.874126291,0
10,22,43,215,1,6,49,1,0.855317205,0.64224238,0
10,23,33,220,1,5,45,1,0.819543936,0.689210167,0
10,24,37,217,1,7,42,1,0.723103684,0.713210443,0
10,25,44,242,1,5,55,1,0.944482672,0.643452676,0
10,27,44,251,1,8,58,1,0.740362689,0.636245728,0
10,26,41,220,1,8,56,1,0.70969387,0.594234654,0
10,28,29,153,1,9,71,1,0.508155488,0.333433082,0
10,29,34,212,1,4,27,1,0.929418926,0.894972097,0
