net_type,run_index,repetition_index,mutation_rate,Sch 1,R1,M1,B1,Sch 2,R2,M2,B2,log(R1/R2),log(M1/M2),log(B1/B2),Changeovers,log R sq,log M sq,log RM,,,,
2,8,5,0.1,VI 45,324,1.052631579,1221,VI 95,146,0.64516129,571,0.346192154,0.212608093,0.330079556,590,0.119849008,0.045202201,0.073603254,,,,
2,8,7,0.1,VI 45,322,1.052631579,1234,VI 95,148,0.64516129,596,0.337594156,0.212608093,0.3160689,605,0.113969814,0.045202201,0.07177525,,,,
2,8,8,0.1,VI 45,306,1.052631579,1166,VI 95,160,0.64516129,625,0.281601444,0.212608093,0.270818533,588,0.079299373,0.045202201,0.059870746,,,,
2,8,9,0.1,VI 45,343,1.052631579,1291,VI 95,153,0.64516129,643,0.350602689,0.212608093,0.302715269,651,0.122922246,0.045202201,0.074540969,,,,
2,9,0,0.1,VI 45,299,1.6,1422,VI 95,153,0.533333333,528,0.290979758,0.477121255,0.430265674,566,0.084669219,0.227644692,0.138832627,,,,
2,9,1,0.1,VI 45,304,1.6,1573,VI 95,139,0.533333333,498,0.339858783,0.477121255,0.49949938,576,0.115503993,0.227644692,0.162153849,,,,
2,9,2,0.1,VI 45,295,1.6,1525,VI 95,134,0.533333333,526,0.342717218,0.477121255,0.4622841,580,0.117455091,0.227644692,0.163517669,,,,
2,9,3,0.1,VI 45,311,1.6,1643,VI 95,134,0.533333333,486,0.365655591,0.477121255,0.529001294,536,0.133704011,0.227644692,0.174462054,,,,
2,9,4,0.1,VI 45,326,1.6,1673,VI 95,123,0.533333333,468,0.423312489,0.477121255,0.553250088,600,0.179193463,0.227644692,0.201971386,,,,
2,9,5,0.1,VI 45,303,1.6,1526,VI 95,143,0.533333333,472,0.326106591,0.477121255,0.509612535,552,0.106345509,0.227644692,0.155592386,,,,
2,9,6,0.1,VI 45,304,1.6,1485,VI 95,132,0.533333333,485,0.362299652,0.477121255,0.485984715,551,0.131261038,0.227644692,0.172860865,,,,
2,9,7,0.1,VI 45,299,1.6,1544,VI 95,131,0.533333333,513,0.358399893,0.477121255,0.478529931,580,0.128450483,0.227644692,0.171000206,,,,
