net_type,run_index,repetition_index,mutation_rate,Sch 1,R1,M1,B1,Sch 2,R2,M2,B2,log(R1/R2),log(M1/M2),log(B1/B2),Changeovers,am,ar,log(b),,epsilon
-1,18,8,0.1,VI 95,870,1.052631579,34556,VI 45,1679,0.64516129,42845,-0.285531444,0.212608093,-0.093376682,7713,,,,,
-1,18,7,0.1,VI 95,830,1.052631579,36175,VI 45,1618,0.64516129,41018,-0.289900425,0.212608093,-0.054565941,7979,,,,,
-1,18,9,0.1,VI 95,867,1.052631579,34142,VI 45,1662,0.64516129,41971,-0.282611922,0.212608093,-0.089660359,8077,,,,,
-1,19,0,0.1,VI 95,913,1.6,48385,VI 45,1232,0.533333333,23147,-0.13013993,0.477121255,0.320216034,6443,,,,,
-1,19,1,0.1,VI 95,924,1.6,48538,VI 45,1264,0.533333333,24518,-0.136075103,0.477121255,0.296596837,6659,,,,,
-1,19,3,0.1,VI 95,955,1.6,48690,VI 45,1299,0.533333333,24224,-0.133605779,0.477121255,0.303193917,6864,,,,,
-1,19,4,0.1,VI 95,979,1.6,51361,VI 45,1211,0.533333333,21739,-0.092361451,0.477121255,0.373393908,6112,,,,,
-1,19,2,0.1,VI 95,942,1.6,49992,VI 45,1322,0.533333333,24476,-0.147180552,0.477121255,0.310160067,7187,,,,,
-1,19,7,0.1,VI 95,938,1.6,50432,VI 45,1184,0.533333333,22012,-0.101148864,0.477121255,0.360046687,6275,,,,,
-1,19,6,0.1,VI 95,1029,1.6,50922,VI 45,1301,0.533333333,23516,-0.101861922,0.477121255,0.335542001,6749,,,,,
-1,19,8,0.1,VI 95,987,1.6,49542,VI 45,1326,0.533333333,23986,-0.128226371,0.477121255,0.315015706,7179,,,,,
