net_type,run_index,repetition_index,mutation_rate,Sch 1,R1,M1,B1,Sch 2,R2,M2,B2,interaction,log(R1/R2),log(M1/M2),log(B1/B2),am,ar,ai,log(b),(log(M1/M2))^2,(log(R1/R2)) * (log(M1/M2)),(log(R1/R1))^2,Changeovers,A,B,C,G,B^2 - 4AC,Key
1,8,0,0.1,VI 45,295,1.0526315789473684,1336,VI 95,142,0.6451612903225806,590,0.06751022834347827,0.31753367159510654,0.21260809288144372,0.35495444649738267,,,,,0.0452022011586846,0.06751022834347827,0.10082763259666896,522,,,,,,8 0
1,4,0,0.1,VI 20,762,1.6,3714,VI 120,61,0.5333333333333333,175,0.5232231610023339,1.0966251363288335,0.47712125471966244,1.326803850717467,,,,,0.227644691705265,0.5232231610023339,1.2025866896282327,198,,,,,,4 0
1,11,0,0.1,VI 70,201,0.6451612903225806,802,VI 70,188,1.0526315789473684,1071,-0.00617375805691354,0.02903820815680898,-0.21260809288144372,-0.12561510254769212,,,,,0.0452022011586846,-0.00617375805691354,0.0008432175329581675,577,,,,,,11 0
1,10,0,0.1,VI 70,165,0.5333333333333333,566,VI 70,217,1.6,1511,0.05676587803173403,-0.1189757896346232,-0.47712125471966244,-0.42644803315075397,,,,,0.227644691705265,0.05676587803173403,0.014155238519182113,502,,,,,,10 0
1,14,0,0.1,VI 70,224,1.6,1495,VI 70,163,0.5333333333333333,564,0.06587155792149538,0.13806041393020502,0.47712125471966244,0.4233620886771062,,,,,0.227644691705265,0.06587155792149538,0.019060677894579547,487,,,,,,14 0
1,15,0,0.1,VI 95,116,0.5333333333333333,411,VI 45,339,1.6,1995,0.2222152685619871,-0.4657417089761637,-0.47712125471966244,-0.6861010781466979,,,,,0.227644691705265,0.2222152685619871,0.21691533948003755,410,,,,,,15 0
1,17,0,0.1,VI 95,133,0.8,675,VI 45,276,0.8,1156,-0.0,-0.31705744109813194,0.0,-0.2336540612534853,,,,,0.0,-0.0,0.1005254209556954,506,,,,,,17 0
1,18,0,0.1,VI 95,162,1.0526315789473684,891,VI 45,295,0.6451612903225806,1043,-0.0553433751388957,-0.26030700143553204,0.21260809288144372,-0.06840660438965607,,,,,0.0452022011586846,-0.0553433751388957,0.06775973499635808,564,,,,,,18 0
1,16,0,0.1,VI 95,140,0.6451612903225806,637,VI 45,290,1.0526315789473684,1342,0.06724155350343311,-0.316269962220718,-0.21260809288144372,-0.32361308349762286,,,,,0.0452022011586846,0.06724155350343311,0.1000266890030944,523,,,,,,16 0
1,19,0,0.1,VI 95,160,1.6,1170,VI 45,231,0.5333333333333333,771,-0.07609702183909,-0.15949199723621954,0.47712125471966244,0.18113148369520465,,,,,0.227644691705265,-0.07609702183909,0.025437697182398262,512,,,,,,19 0
1,20,0,0.1,VI 120,83,0.5333333333333333,205,VI 20,718,1.6,3398,0.44708473113289626,-0.9370463518662264,-0.47712125471966244,-1.2194695134772726,,,,,0.227644691705265,0.44708473113289626,0.8780558655458038,228,,,,,,20 0
1,23,0,0.1,VI 120,106,1.0526315789473684,544,VI 20,555,0.6451612903225806,1553,-0.1528624799340952,-0.718987117857906,0.21260809288144372,-0.4555725560303786,,,,,0.0452022011586846,-0.1528624799340952,0.5169424756456185,451,,,,,,23 0
1,21,0,0.1,VI 120,98,0.6451612903225806,343,VI 20,649,1.0526315789473684,2373,0.1745552032538978,-0.8210186211078744,-0.21260809288144372,-0.8400036181745685,,,,,0.0452022011586846,0.1745552032538978,0.6740715762058754,306,,,,,,21 0
1,24,0,0.1,VI 120,131,1.6,852,VI 20,473,0.5333333333333333,1196,-0.2660379665044886,-0.5575898450820472,0.47712125471966244,-0.14729158488569194,,,,,0.227644691705265,-0.2660379665044886,0.31090643533862145,504,,,,,,24 0
1,22,0,0.1,VI 120,99,0.8,447,VI 20,558,0.8,1797,-0.0,-0.7509990043400289,0.0,-0.6042405539770374,,,,,0.0,-0.0,0.5639995045197147,412,,,,,,22 0
