log(R1/R2),log(M1/M2),log(B1/B2)
0.762872985,0,0.612723092
0.772459236,0,0.609021704
0.77492228,0,0.626883575
0.775968861,0,0.610807885
0.77981841,0,0.605170319
0.782687004,0,0.603737886
0.793511006,0,0.628406064
0.796016781,0,0.646866326
0.800894378,0,0.623068575
0.801074486,0,0.640865092
0.808359769,0,0.648741018
0.809062715,0,0.646516881
0.813989676,0,0.657907635
0.81431476,0,0.637227664
0.815274371,0,0.646962608
0.818268474,0,0.658877004
0.822354913,0,0.652261305
0.828306213,0,0.653143964
0.839225499,0,0.670138891
0.841237619,0,0.644707454
0.842294322,0,0.644648257
0.849028334,0,0.67802816
0.853476972,0,0.668623079
0.855877947,0,0.655465973
0.856807669,0,0.66636574
0.859802832,0,0.672700069
0.860483377,0,0.680424126
0.871891217,0,0.689867691
