net_type,run_index,repetition_index,mutation_rate,Sch 1,R1,B1,Sch 2,R2,B2,Larger Ratio/Smaller Ratio,Preference for Smaller Ratio,Max Preference,,
1,9,2,0.1,VR 160,1,204,VR 160,0,204,1,0.5,0.5,,
1,9,6,0.1,VR 160,0,204,VR 160,0,196,1,0.51,0.51,,
1,9,7,0.1,VR 160,3,229,VR 160,0,191,1,0.545238095,0.545238095,,
1,9,5,0.1,VR 160,2,162,VR 160,2,196,1,0.452513966,0.547486034,,
1,10,4,0.1,VR 160,3,230,VR 160,2,186,1,0.552884615,0.552884615,,
1,10,1,0.1,VR 160,3,214,VR 160,1,205,1,0.510739857,0.510739857,,
1,10,14,0.1,VR 160,0,218,VR 160,2,193,1,0.530413625,0.530413625,,
1,10,11,0.1,VR 160,1,207,VR 160,4,210,1,0.496402878,0.503597122,,
1,10,13,0.1,VR 160,2,202,VR 160,2,235,1,0.462242563,0.537757437,,
1,10,3,0.1,VR 160,2,205,VR 160,0,195,1,0.5125,0.5125,,
1,10,15,0.1,VR 160,2,193,VR 160,0,168,1,0.534626039,0.534626039,,
1,10,9,0.1,VR 160,1,202,VR 160,0,189,1,0.516624041,0.516624041,,
1,10,8,0.1,VR 160,2,225,VR 160,1,177,1,0.559701493,0.559701493,,
1,10,10,0.1,VR 160,0,230,VR 160,0,202,1,0.532407407,0.532407407,,
1,10,0,0.1,VR 160,2,193,VR 160,0,185,1,0.510582011,0.510582011,,
1,10,12,0.1,VR 160,3,230,VR 160,1,210,1,0.522727273,0.522727273,,
1,10,2,0.1,VR 160,0,177,VR 160,4,230,1,0.434889435,0.565110565,,
1,10,6,0.1,VR 160,1,188,VR 160,0,217,1,0.464197531,0.535802469,,
1,10,7,0.1,VR 160,0,181,VR 160,0,209,1,0.464102564,0.535897436,,
1,10,5,0.1,VR 160,0,210,VR 160,2,208,1,0.502392344,0.502392344,,
1,11,4,0.1,VR 160,2,202,VR 160,2,216,1,0.483253589,0.516746411,,
1,11,14,0.1,VR 160,1,186,VR 160,2,209,1,0.470886076,0.529113924,,
1,11,1,0.1,VR 160,1,201,VR 160,2,209,1,0.490243902,0.509756098,,
1,11,11,0.1,VR 160,1,187,VR 160,0,202,1,0.480719794,0.519280206,,
1,11,13,0.1,VR 160,1,226,VR 160,0,177,1,0.560794045,0.560794045,,
1,11,15,0.1,VR 160,0,198,VR 160,4,204,1,0.492537313,0.507462687,,
1,11,9,0.1,VR 160,4,198,VR 160,2,195,1,0.503816794,0.503816794,,
1,11,8,0.1,VR 160,0,215,VR 160,0,176,1,0.549872123,0.549872123,,
1,11,10,0.1,VR 160,1,210,VR 160,1,193,1,0.521091811,0.521091811,,
1,11,3,0.1,VR 160,1,233,VR 160,1,201,1,0.536866359,0.536866359,,
1,11,12,0.1,VR 160,3,215,VR 160,2,202,1,0.51558753,0.51558753,,
1,11,0,0.1,VR 160,0,158,VR 160,2,209,1,0.430517711,0.569482289,,
1,11,2,0.1,VR 160,3,207,VR 160,0,208,1,0.498795181,0.501204819,,
1,11,6,0.1,VR 160,0,182,VR 160,3,216,1,0.457286432,0.542713568,,
1,11,7,0.1,VR 160,0,189,VR 160,4,195,1,0.4921875,0.5078125,,
1,11,5,0.1,VR 160,0,195,VR 160,1,179,1,0.521390374,0.521390374,,
1,0,18,0.1,VR 160,1,206,VR 160,2,178,1,0.536458333,0.536458333,,
1,0,16,0.1,VR 160,3,212,VR 160,4,217,1,0.494172494,0.505827506,,
1,0,17,0.1,VR 160,2,188,VR 160,1,188,1,0.5,0.5,,
1,0,19,0.1,VR 160,1,237,VR 160,0,218,1,0.520879121,0.520879121,,
1,1,18,0.1,VR 160,1,208,VR 160,0,213,1,0.494061758,0.505938242,,
1,1,16,0.1,VR 160,2,217,VR 160,0,216,1,0.501154734,0.501154734,,
1,1,17,0.1,VR 160,0,179,VR 160,1,181,1,0.497222222,0.502777778,,
1,1,19,0.1,VR 160,1,187,VR 160,0,218,1,0.461728395,0.538271605,,
1,2,18,0.1,VR 160,3,188,VR 160,3,205,1,0.478371501,0.521628499,,
1,2,16,0.1,VR 160,2,184,VR 160,1,235,1,0.439140811,0.560859189,,
1,2,17,0.1,VR 160,0,202,VR 160,0,205,1,0.496314496,0.503685504,,
1,2,19,0.1,VR 160,1,197,VR 160,1,185,1,0.515706806,0.515706806,,
1,3,18,0.1,VR 160,2,224,VR 160,2,172,1,0.565656566,0.565656566,,
1,3,16,0.1,VR 160,3,206,VR 160,0,186,1,0.525510204,0.525510204,,
1,3,17,0.1,VR 160,3,220,VR 160,0,199,1,0.525059666,0.525059666,,
1,3,19,0.1,VR 160,4,184,VR 160,1,219,1,0.456575682,0.543424318,,
1,4,18,0.1,VR 5,43,240,VR 5,39,253,1,0.486815416,0.513184584,,
1,4,16,0.1,VR 5,40,273,VR 5,40,246,1,0.526011561,0.526011561,,
1,4,17,0.1,VR 5,53,238,VR 5,43,236,1,0.502109705,0.502109705,,
1,4,19,0.1,VR 5,56,279,VR 5,25,194,1,0.589852008,0.589852008,,
1,5,16,0.1,VR 5,56,296,VR 5,51,290,1,0.505119454,0.505119454,,
1,5,18,0.1,VR 5,60,321,VR 5,41,245,1,0.567137809,0.567137809,,
1,5,19,0.1,VR 5,44,224,VR 5,78,369,1,0.377740304,0.622259696,,
1,5,17,0.1,VR 5,40,226,VR 5,68,348,1,0.393728223,0.606271777,,
1,6,16,0.1,VR 5,47,256,VR 5,59,305,1,0.456327986,0.543672014,,
1,6,18,0.1,VR 5,58,265,VR 5,56,283,1,0.483576642,0.516423358,,
1,6,19,0.1,VR 5,38,249,VR 5,48,288,1,0.463687151,0.536312849,,
1,6,17,0.1,VR 5,36,234,VR 5,33,235,1,0.498933902,0.501066098,,
1,7,16,0.1,VR 5,56,297,VR 5,22,162,1,0.647058824,0.647058824,,
1,7,18,0.1,VR 5,55,273,VR 5,38,232,1,0.540594059,0.540594059,,
